"mae.mean","mae.sd","corr.mean","corr.sd"
"rf",11.301,0.791,0.48,0.063
"ridge",8.858,0.735,0.756,0.042
"elast",9.051,0.788,0.713,0.061
"lasso",9.133,0.827,0.702,0.064
"true ridge",6.508,0.695,0.832,0.044
"true elast",7.538,0.733,0.769,0.056
"true lasso",7.859,0.741,0.751,0.061
"mis ridge",7.011,0.595,0.812,0.047
"mis elast",8.094,0.673,0.744,0.059
"mis lasso",8.247,0.678,0.731,0.061
"rf",11.303,0.707,0.456,0.067
"ridge",10.757,0.696,0.723,0.037
"elast",9.264,0.697,0.696,0.047
"lasso",9.36,0.719,0.682,0.052
"true ridge",7.122,0.534,0.798,0.045
"true elast",7.83,0.577,0.752,0.046
"true lasso",8.087,0.671,0.734,0.055
"mis ridge",7.639,0.597,0.765,0.05
"mis elast",8.323,0.664,0.709,0.054
"mis lasso",8.492,0.612,0.702,0.05
"rf",11.653,0.805,0.422,0.071
"ridge",11.016,0.903,0.677,0.05
"elast",9.605,0.888,0.677,0.059
"lasso",9.673,0.893,0.663,0.064
"true ridge",8.359,0.765,0.722,0.055
"true elast",8.777,0.685,0.689,0.058
"true lasso",9.012,0.819,0.672,0.064
"mis ridge",8.637,0.739,0.701,0.056
"mis elast",9.156,0.887,0.659,0.076
"mis lasso",9.203,0.905,0.653,0.083
